questao1,questao2,questao3,questao4,questao5,questao6,questao7,questao8,questao9,questao10,Semestre,Turma
2,,2,2,1,2,1,1,,1,1,a
2,1,1,2,1,5,2,1,1,1,1,a
2,3,1,2,2,,1,1,1,1,1,a
2,3,1,2,2,4,1,1,1,1,1,a
2,1,1,2,1,3,2,2,1,1,1,a
1,M,M,2,2,2,2,1,1,1,1,a
2,1,1,2,1,2,1,1,1,2,1,a
2,1,1,2,1,1,2,1,2,4,1,a
2,,,2,,2,,,,,1,a
2,1,1,2,1,2,4,2,1,2,1,a
1,1,1,2,2,4,1,2,1,1,1,a
,1,2,2,2,5,1,1,,1,1,a
1,2,2,2,2,4,2,2,1,1,1,a
1,2,1,5,2,5,1,M,1,1,1,a
2,M,1,2,1,2,1,1,1,2,1,a
1,3,2,5,2,2,1,1,1,1,1,a
1,1,1,2,2,2,4,1,2,1,1,a
2,,1,2,2,4,2,2,3,1,1,a
1,,1,2,2,5,,,,1,1,a
,3,,,,,,,,,1,a
1,M,1,4,4,2,2,1,2,1,1,a
2,1,1,2,2,5,4,1,2,2,1,a
1,1,1,3,3,3,3,3,3,3,1,a
1,M,M,2,2,2,1,1,1,1,1,a
2,2,2,5,2,1,5,1,1,1,1,a
2,2,2,,1,2,1,2,,1,1,a
,,,2,2,,,,2,,1,a
1,1,M,2,2,5,5,4,1,1,1,a
1,2,1,4,2,1,2,1,1,1,1,a
2,M,1,2,2,5,2,1,1,1,1,a
2,M,M,M,2,4,2,3,3,2,1,a
,2,1,2,1,5,4,2,2,1,1,a
2,M,1,4,1,5,2,1,3,1,1,a
2,2,2,2,2,2,3,,3,1,1,a
1,2,2,4,2,2,5,1,4,2,1,a
,2,,2,,2,2,,2,1,1,a
,,,5,2,,,,,1,1,a
1,2,1,4,4,4,1,4,1,1,1,a
2,M,1,3,2,5,1,1,1,1,1,a
